date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986075571,1.00000000136178,46303774477
2024-12-25,1.0,0.9999999982474211,1.0000000015699875,46303774477
2024-12-26,1.0,0.9999999979954893,1.0000000017820707,46303774477
2024-12-27,1.0,0.9999999971432858,1.0000000025244518,46303774477
2024-12-28,1.0,0.9999999954547261,1.0000000036100714,46303774477
2024-12-29,1.0,0.9999999940365205,1.0000000052253541,46303774477
2024-12-30,1.0,0.9999999923537913,1.000000006887537,46303774477
2024-12-31,1.0,0.9999999902515558,1.0000000089486552,46303774477
2025-01-01,1.0,0.9999999885210122,1.000000010649622,46303774477
2025-01-02,1.0,0.9999999860623093,1.0000000132110265,46303774477
2025-01-03,1.0,0.9999999833134763,1.0000000153119393,46303774477
2025-01-04,1.0,0.9999999809709706,1.000000017917824,46303774477
2025-01-05,1.0,0.9999999774341409,1.0000000203988604,46303774477
2025-01-06,1.0,0.9999999751477566,1.0000000235639397,46303774477
2025-01-07,1.0,0.9999999729762703,1.0000000272385285,46303774477
2025-01-08,1.0,0.999999969456065,1.000000030385544,46303774477
2025-01-09,1.0,0.9999999662025495,1.0000000333462973,46303774477
2025-01-10,1.0,0.9999999633314256,1.0000000358715169,46303774477
2025-01-11,1.0,0.999999959758925,1.0000000385707926,46303774477
2025-01-12,1.0,0.999999956401625,1.0000000423943765,46303774477
2025-01-13,1.0,0.9999999519449211,1.0000000465224188,46303774477
2025-01-14,1.0,0.9999999494277185,1.0000000498757118,46303774477
2025-01-15,1.0,0.9999999458480059,1.0000000530772704,46303774477
2025-01-16,1.0,0.9999999406497087,1.0000000577704606,46303774477
2025-01-17,1.0,0.999999936670483,1.0000000623941385,46303774477
2025-01-18,1.0,0.9999999323217671,1.0000000650875,46303774477
2025-01-19,1.0,0.9999999285502219,1.0000000691705362,46303774477
2025-01-20,1.0,0.9999999233435117,1.0000000724125122,46303774477
2025-03-04,1.9999996656589085,1.99999966565756,1.9999996656603025,46303862950
2025-03-05,1.9999996656589087,1.9999996656574186,1.9999996656604322,46303862950
2025-03-06,1.9999996656589092,1.9999996656572092,1.9999996656605175,46303862950
2025-03-07,1.9999996656589094,1.999999665657151,1.9999996656606858,46303862950
2025-03-08,1.9999996656589096,1.9999996656569747,1.9999996656609151,46303862950
2025-03-09,1.99999966565891,1.999999665656814,1.9999996656617292,46303862950
2025-03-10,1.9999996656589103,1.999999665656627,2.000028051619396,46303862950
2025-03-11,1.9999996656589105,1.9999793729374087,2.0000684572862006,46303862950
2025-03-12,1.9999996656589107,1.9999521400824078,2.000118778818622,46303862950
2025-03-13,1.9999996656589112,1.999913518634056,2.0001855844349588,46303862950
2025-03-14,1.9999996656589114,1.9998529970250565,2.000277728475588,46303862950
2025-03-15,1.9999996656589116,1.9997760124435524,2.00040744253733,46303862950
2025-03-16,1.9999996656589119,1.9996999204012194,2.000494698863209,46303862950
2025-03-17,1.9999996656589123,1.9996118068559867,2.0005753350370687,46303862950
2025-03-18,1.9999996656589125,1.9995015097566442,2.0006599910633294,46303862950
2025-03-19,1.9999996656589127,1.9994054678054776,2.000748308540273,46303862950
2025-03-20,1.9999996656589132,1.9992776752854364,2.000889318092049,46303862950
2025-03-21,1.9999996656589134,1.999217792371633,2.001032547355491,46303862950
2025-03-22,1.9999996656589136,1.9990751390528874,2.0011320688690946,46303862950
2025-03-23,1.9999996656589138,1.9989346482483719,2.001235555726042,46303862950
2025-03-24,1.9999996656589143,1.9988332504556239,2.0013635387638966,46303862950
2025-03-25,1.9999996656589145,1.9987069163125157,2.001520862509645,46303862950
2025-03-26,1.9999996656589147,1.9985533853561994,2.0016363686300838,46303862950
2025-03-27,1.999999665658915,1.998382892811272,2.0018009242678487,46303862950
2025-03-28,1.9999996656589154,1.9981871859904667,2.0019484221653108,46303862950
2025-03-29,1.9999996656589156,1.9980152759880434,2.0020569580192418,46303862950
2025-03-30,1.9999996656589158,1.997931990968812,2.002185831481764,46303862950
2025-03-31,1.9999996656589163,1.9977394254872047,2.002349225582184,46303862950
2025-03-04,5.434594712288739,1.4993273115659658,9.48992235824819,46303877432
2025-03-05,4.865590756422694,0.5040494992022047,9.046949996648298,46303877432
2025-03-06,4.296586800556636,0.010119494476734039,8.499336952635105,46303877432
2025-03-07,3.727582844690591,-0.7721961089176347,7.679027659821499,46303877432
2025-03-08,3.1585788888245467,-1.0807308384033056,7.099807272900684,46303877432
2025-03-09,2.5895749329585023,-1.5290165106717755,6.558682737306106,46303877432
2025-03-10,2.020570977092458,-2.043043090883638,6.09313646360658,46303877432
2025-03-11,1.4515670212264133,-2.6902578680802294,5.62012365397695,46303877432
2025-03-12,0.8825630653603618,-3.2424108238132776,4.749143391832377,46303877432
2025-03-13,0.3135591094943173,-3.8241594547736764,4.6821089447182365,46303877432
2025-03-14,-0.25544484637172715,-4.505054621510981,4.218137094114022,46303877432
2025-03-15,-0.8244488022377716,-5.02768617161241,3.493459638539702,46303877432
2025-03-16,-1.393452758103816,-5.535072858509013,2.8901408433214004,46303877432
2025-03-17,-1.9624567139698605,-5.779985358048085,1.9763049209633101,46303877432
2025-03-18,-2.531460669835919,-6.942036891896043,1.379143342037456,46303877432
2025-03-19,-3.1004646257019637,-7.264420626453893,0.6183204416062218,46303877432
2025-03-20,-3.669468581568008,-7.485355860719136,0.29275922567730983,46303877432
2025-03-21,-4.238472537434053,-8.46050276230776,-0.08353663955601334,46303877432
2025-03-22,-4.807476493300097,-8.9099318701638,-0.6979286642909248,46303877432
2025-03-23,-5.376480449166149,-9.17644715174762,-1.1538195755530438,46303877432
2025-03-24,-5.945484405032193,-10.189005290699797,-1.667997796990541,46303877432
2025-03-25,-6.514488360898238,-10.764215270108602,-2.424217634671547,46303877432
2025-03-26,-7.083492316764289,-11.278075692816456,-3.3103905087885974,46303877432
2025-03-27,-7.6524962726303265,-11.809588658969272,-3.5439025241629465,46303877432
2025-03-28,-8.221500228496378,-12.481200733568716,-4.224675711758618,46303877432
2025-03-29,-8.79050418436243,-12.801218940856996,-4.415625417497774,46303877432
2025-03-30,-9.359508140228467,-13.494227650821362,-5.306682617508237,46303877432
2025-03-31,-9.928512096094519,-14.048432457926745,-5.770582582932205,46303877432
2024-12-31,3.9986594018922714,1.134674950370074,7.018497246415134,46303948414
2025-01-01,4.018659914392803,1.165485690016166,7.012724980682754,46303948414
2025-01-02,4.038660426893334,1.16020641867765,7.1320930907086595,46303948414
2025-01-03,4.0586609393938655,1.1124730627026793,6.9880693303459696,46303948414
2025-01-04,4.078661451894398,1.0233947822367353,6.9782901919626665,46303948414
2025-01-05,4.098661964394928,1.1762994856908306,6.9125051978129655,46303948414
2025-01-06,4.1186624768954605,1.123439258132066,6.996167332859941,46303948414
2025-01-07,4.138662989395992,1.2406276357567205,7.139488521545013,46303948414
2025-01-08,4.158663501896523,1.291963793495782,7.114491970618674,46303948414
2025-01-09,4.178664014397055,1.2841079261061468,7.199507848714417,46303948414
2025-01-10,4.198664526897586,1.4380225521460155,7.129001953617164,46303948414
2025-01-11,4.218665039398117,1.2941548231069822,7.139311597089165,46303948414
2025-01-12,4.238665551898649,1.196021571453019,7.232050572421065,46303948414
2025-01-13,4.25866606439918,1.2048870139825179,7.537759504824682,46303948414
2025-01-14,4.278666576899711,1.2711695753319778,7.216355016546054,46303948414
2025-01-15,4.298667089400243,1.267916913085384,7.501526369456171,46303948414
2025-01-16,4.318667601900774,1.3884034821729232,7.254304621383141,46303948414
2025-01-17,4.3386681144013055,1.2484445400419475,7.284278149594911,46303948414
2025-01-18,4.358668626901837,1.3242535248537362,7.1830084906613125,46303948414
2025-01-19,4.378669139402369,1.5936892003619096,7.225335180928278,46303948414
2025-01-20,4.3986696519029,1.2785964562930765,7.379856457018636,46303948414
2025-01-21,4.418670164403432,1.352197136138492,7.49367316087528,46303948414
2025-01-22,4.438670676903962,1.3325464270946301,7.35957208373945,46303948414
2025-01-23,4.458671189404495,1.585024082213078,7.708760459947768,46303948414
2025-01-24,4.478671701905026,1.4894429164028875,7.466910182686501,46303948414
2025-01-25,4.498672214405557,1.634035496970406,7.5839687724855365,46303948414
2025-01-26,4.518672726906089,1.5306822083902836,7.61931785467664,46303948414
2025-01-27,4.53867323940662,1.4228195032525373,7.495378680252527,46303948414
2024-12-17,7.714272166685397,7.714272165967159,7.714272167345736,46308044959
2024-12-18,8.428557166762566,8.428557165954984,8.428557167579267,46308044959
2024-12-19,9.142842166839738,9.142842165890313,9.142842167937632,46308044959
2024-12-20,9.85712716691691,9.857127165581485,9.857127169018959,46308044959
2024-12-21,10.57141216699408,10.571412163566064,10.571412171375236,46308044959
2024-12-22,11.285697167071252,11.285697161211578,11.285697175005271,46308044959
2024-12-23,11.99998216714842,11.99998215719303,11.999982180947946,46308044959
2024-12-24,12.714267167225593,12.714267151740138,12.714267186437574,46308044959
2024-12-25,13.428552167302762,13.428552147682995,13.428552191553127,46308044959
2024-12-26,14.14283716737993,14.142837142033136,14.14283719765664,46308044959
2024-12-27,14.857122167457103,14.857122135427783,14.857122204271025,46308044959
2024-12-28,15.571407167534275,15.571407130009476,15.57140721000487,46308044959
2024-12-29,16.285692167611444,16.28569212310184,16.285692217652308,46308044959
2024-12-30,16.999977167688613,16.99997711567395,16.99997722307787,46308044959
2024-12-31,17.714262167765785,17.714262107658275,17.714262231032432,46308044959
2025-01-01,18.428547167842954,18.42854709962622,18.428547239975128,46308044959
2025-01-02,19.142832167920126,19.142832092376164,19.142832245405746,46308044959
2025-01-03,19.857117167997295,19.857117086015574,19.857117254335783,46308044959
2025-01-04,20.571402168074467,20.571402077817353,20.57140226132017,46308044959
2025-01-05,21.285687168151632,21.285687069450216,21.285687270576364,46308044959
2025-01-06,21.999972168228805,21.99997206282962,21.999972277375925,46308044959
2025-01-07,22.714257168305984,22.714257054033585,22.7142572843591,46308044959
2025-01-08,23.428542168383146,23.42854204654797,23.428542295458094,46308044959
2025-01-09,24.14282716846032,24.142827039125887,24.142827305821942,46308044959
2025-01-10,24.85711216853749,24.857112025990077,24.857112313476478,46308044959
2025-01-11,25.57139716861466,25.57139701670947,25.571397321839296,46308044959
2025-01-12,26.285682168691828,26.28568200691598,26.285682334373718,46308044959
2025-01-13,26.999967168768997,26.99996699860007,26.99996734409318,46308044959
2024-12-24,2.2106782424648124,1.6393186061640292,2.7891106011712083,46310250952
2024-12-25,2.4867677651325204,1.9433583207054765,3.119931012950359,46310250952
2024-12-26,2.7628572878002275,2.177221629845967,3.360437126883003,46310250952
2024-12-27,3.0389468104679356,2.4316719787435295,3.5976523537238396,46310250952
2024-12-28,3.3150363331356436,2.7283350364534864,3.9115846115713353,46310250952
2024-12-29,3.5911258558033516,2.964258266267149,4.154775541497416,46310250952
2024-12-30,3.867215378471059,3.3141147664637076,4.493823431225932,46310250952
2024-12-31,4.143304901138767,3.539105547961115,4.711903795384002,46310250952
2025-01-01,4.419394423806477,3.850728825627854,4.979080742369426,46310250952
2025-01-02,4.695483946474184,4.111865984429874,5.309501575226036,46310250952
2025-01-03,4.971573469141891,4.353973915115027,5.549474324683672,46310250952
2025-01-04,5.247662991809598,4.653306077519435,5.8892774299054365,46310250952
2025-01-05,5.523752514477307,4.945080660928264,6.148288468946881,46310250952
2025-01-06,5.799842037145016,5.215191231017097,6.41582035334973,46310250952
2025-01-07,6.075931559812721,5.5145335632466495,6.727245353641958,46310250952
2025-01-08,6.35202108248043,5.774267732025187,6.923928825907581,46310250952
2025-01-09,6.628110605148139,6.0316407619969175,7.229058271849167,46310250952
2025-01-10,6.904200127815846,6.306591261573047,7.503327358791114,46310250952
2025-01-11,7.180289650483553,6.589788731058302,7.758858140372366,46310250952
2025-01-12,7.4563791731512605,6.906812008628284,8.001900880588245,46310250952
2025-01-13,7.7324686958189695,7.117640876430315,8.348759272567563,46310250952
2025-01-14,8.008558218486677,7.44617343661936,8.599909617676493,46310250952
2025-01-15,8.284647741154386,7.722735500591156,8.891773905104687,46310250952
2025-01-16,8.560737263822093,8.038611119553048,9.161018570402216,46310250952
2025-01-17,8.836826786489802,8.24659023098749,9.448783158209606,46310250952
2025-01-18,9.112916309157509,8.517179425761434,9.709553555670404,46310250952
2025-01-19,9.389005831825216,8.798350984793645,10.01947369408651,46310250952
2025-01-20,9.665095354492925,9.06352991222649,10.266032363306694,46310250952
2024-12-31,3.4704235670414283,2.6596049652626808,4.30039938320083,46310280482
2025-01-01,3.439880888497841,2.5704936674647536,4.276038228520038,46310280482
2025-01-02,3.4093382099542535,2.611045744476238,4.1586604617347165,46310280482
2025-01-03,3.378795531410666,2.4966106034581523,4.227696287274004,46310280482
2025-01-04,3.3482528528670787,2.5052024925263248,4.251599828703771,46310280482
2025-01-05,3.317710174323491,2.510029685207713,4.259109420815166,46310280482
2025-01-06,3.2871674957799035,2.4841448098341234,4.188457285195747,46310280482
2025-01-07,3.256624817236316,2.343371602480924,4.059675331901367,46310280482
2025-01-08,3.2260821386927288,2.3434840310746807,4.115880268855251,46310280482
2025-01-09,3.195539460149141,2.402152101658242,4.093763364826681,46310280482
2025-01-10,3.1649967816055535,2.4032064590002555,4.093137567395598,46310280482
2025-01-11,3.134454103061966,2.2142164852492425,3.949865648907983,46310280482
2025-01-12,3.1039114245183788,2.2765299220901243,3.9749896088826464,46310280482
2025-01-13,3.073368745974791,2.2034248990960315,3.9196549967524734,46310280482
2025-01-14,3.0428260674312035,2.168086983839735,3.8689178014801433,46310280482
2025-01-15,3.012283388887616,2.1713270427006006,3.8401023854514604,46310280482
2025-01-16,2.9817407103440283,2.0796362059647024,3.8126129184614594,46310280482
2025-01-17,2.951198031800441,1.9985237698200822,3.689868926170786,46310280482
2025-01-18,2.9206553532568535,2.089741586766144,3.737768604145747,46310280482
2025-01-19,2.890112674713266,2.0536613431672235,3.7536303751755655,46310280482
2025-01-20,2.8595699961696788,1.966556741516492,3.7570020920977143,46310280482
2025-01-21,2.829027317626091,2.016443941909911,3.729334348529808,46310280482
2025-01-22,2.7984846390825036,1.9282713556237154,3.688228751440525,46310280482
2025-01-23,2.7679419605389164,1.8625318520023024,3.5438168515288755,46310280482
2025-01-24,2.7373992819953283,1.8717293065093212,3.5620440966423477,46310280482
2025-01-25,2.706856603451741,1.8056475634840674,3.545540568220233,46310280482
2025-01-26,2.6763139249081536,1.8249479835875753,3.5258532905434796,46310280482
2025-01-27,2.645771246364566,1.8221984932186879,3.4901927114800175,46310280482
2024-12-24,7.141182638575681,5.709120792343054,8.63061777740142,46310291987
2024-12-25,7.282493971835659,5.760089047227984,8.844164235440793,46310291987
2024-12-26,7.423805305095636,5.961649166993153,9.07614281749348,46310291987
2024-12-27,7.565116638355613,6.048506767990649,9.171993588140888,46310291987
2024-12-28,7.706427971615591,6.159353364543536,9.329585146287902,46310291987
2024-12-29,7.847739304875568,6.242168668407285,9.350614454001837,46310291987
2024-12-30,7.989050638135545,6.426836718930166,9.534706198071824,46310291987
2024-12-31,8.130361971395523,6.586890941938669,9.627003254648129,46310291987
2025-01-01,8.2716733046555,6.772574493580803,9.8551902708895,46310291987
2025-01-02,8.412984637915478,6.7776819450272585,9.990424325692818,46310291987
2025-01-03,8.554295971175456,7.010720443467313,10.0994815676449,46310291987
2025-01-04,8.695607304435434,7.111415952664277,10.22387410282998,46310291987
2025-01-05,8.836918637695412,7.30476193991364,10.406482059128395,46310291987
2025-01-06,8.97822997095539,7.443665543308677,10.569026527771229,46310291987
2025-01-07,9.119541304215364,7.403742612093243,10.566117138685312,46310291987
2025-01-08,9.260852637475342,7.677541830738363,10.86340719909932,46310291987
2025-01-09,9.402163970735321,7.836814637725454,10.990365548819145,46310291987
2025-01-10,9.543475303995299,8.001518588223798,10.998358587640901,46310291987
2025-01-11,9.684786637255275,8.265196806115744,11.152217696290734,46310291987
2025-01-12,9.826097970515253,8.212459635872454,11.34713614167776,46310291987
2025-01-13,9.96740930377523,8.447580389605054,11.51752909211118,46310291987
2025-01-14,10.108720637035209,8.64161908968783,11.610612373239,46310291987
2025-01-15,10.250031970295186,8.69630220499809,11.763913117035282,46310291987
2025-01-16,10.39134330355516,8.85808609522042,12.014846832962565,46310291987
2025-01-17,10.532654636815142,8.977372567201966,12.083732655877133,46310291987
2025-01-18,10.67396597007512,9.118409722811029,12.241997069050262,46310291987
2025-01-19,10.815277303335094,9.33925144815411,12.38794788716425,46310291987
2025-01-20,10.956588636595074,9.520704431464818,12.54149999175162,46310291987
2025-02-11,4.472157862741054,3.1825366807677664,5.765903027169038,46310334441
2025-02-12,4.5806841485110645,3.3179808221846985,5.803557080942875,46310334441
2025-02-13,4.689210434281078,3.430879042304546,5.936815939606195,46310334441
2025-02-14,4.797736720051089,3.5709807848676176,6.0264953479822685,46310334441
2025-02-15,4.906263005821102,3.642242961117778,6.205629736741207,46310334441
2025-02-16,5.0147892915911125,3.837198397084036,6.306824514551581,46310334441
2025-02-17,5.123315577361126,3.9016961538415478,6.36727547161305,46310334441
2025-02-18,5.231841863131137,3.9830949493647076,6.379025648702492,46310334441
2025-02-19,5.34036814890115,4.091686413459282,6.595859898169885,46310334441
2025-02-20,5.4488944346711605,4.161557673699383,6.75184041941126,46310334441
2025-02-21,5.557420720441174,4.21712014237479,6.887023803806165,46310334441
2025-02-22,5.665947006211185,4.439206228602415,6.958260961142274,46310334441
2025-02-23,5.774473291981197,4.560412758188602,7.073367997680252,46310334441
2025-02-24,5.8829995777512085,4.598659112718143,7.215407618752221,46310334441
2025-02-25,5.99152586352122,4.6994434626866175,7.27389839807071,46310334441
2025-02-26,6.100052149291233,4.791889622364855,7.370824222519227,46310334441
2025-02-27,6.208578435061245,4.857781366148361,7.415487088524579,46310334441
2025-02-28,6.3171047208312565,5.014995332296925,7.483780381922914,46310334441
2025-03-01,6.425631006601268,5.165006871044519,7.662242718236509,46310334441
2025-03-02,6.534157292371281,5.323530394353129,7.830002342581761,46310334441
2025-03-03,6.642683578141293,5.277899049962927,7.910951827600206,46310334441
2025-03-04,6.7512098639113045,5.545625768756411,8.112499033457166,46310334441
2025-03-05,6.859736149681316,5.608059020687005,8.098655998316241,46310334441
2025-03-06,6.968262435451328,5.727855018408235,8.278549162208884,46310334441
2025-03-07,7.076788721221341,5.897028146964209,8.345693975409027,46310334441
2025-03-08,7.1853150069913525,5.954113023127058,8.487910422061757,46310334441
2025-03-09,7.293841292761364,5.953043306096822,8.639899724928481,46310334441
2025-03-10,7.402367578531376,6.1319581824791705,8.638550630918594,46310334441
2025-03-04,1.0196203986106376,-0.5947130662087569,2.770322117507569,4636511797
2025-03-05,1.1959823024630332,-0.518292740596073,2.8427649160976887,4636511797
2025-03-06,1.3723442063154323,-0.4382969733761323,3.0315661341694753,4636511797
2025-03-07,1.5487061101678279,-0.19767027026869521,3.23869432495984,4636511797
2025-03-08,1.7250680140202235,-0.12013621336660792,3.2902127689454006,4636511797
2025-03-09,1.901429917872619,0.22270875071473173,3.492608503240184,4636511797
2025-03-10,2.0777918217250164,0.3008546524847203,3.775422875588345,4636511797
2025-03-11,2.254153725577414,0.5399613049051903,3.9254825417701102,4636511797
2025-03-12,2.4305156294298094,0.7258614188142453,4.222807313504469,4636511797
2025-03-13,2.6068775332822085,0.8597872172672908,4.330947270609057,4636511797
2025-03-14,2.783239437134604,0.9914285949121294,4.545132945964635,4636511797
2025-03-15,2.9596013409869997,1.1260713298595288,4.727152249527627,4636511797
2025-03-16,3.1359632448393953,1.3940157092380776,4.910739626258293,4636511797
2025-03-17,3.3123251486917944,1.605841809551457,5.047487577155509,4636511797
2025-03-18,3.48868705254419,1.81690885039385,5.226140852113321,4636511797
2025-03-19,3.6650489563965856,1.9218643038981973,5.27339268989462,4636511797
2025-03-20,3.841410860248981,2.229325724931976,5.587568795238513,4636511797
2025-03-21,4.017772764101377,2.2951579479470063,5.782387729674942,4636511797
2025-03-22,4.194134667953776,2.362270241153728,5.972698641227226,4636511797
2025-03-23,4.3704965718061715,2.6278299037593578,6.103784549384538,4636511797
2025-03-24,4.546858475658567,2.8080453478921323,6.333782253005037,4636511797
2025-03-25,4.723220379510963,3.019270950310352,6.348585954928552,4636511797
2025-03-26,4.899582283363362,3.283744574549252,6.720919583814066,4636511797
2025-03-27,5.075944187215761,3.461682676079574,6.823734237853537,4636511797
2025-03-28,5.2523060910681565,3.483472502449097,7.031928373721056,4636511797
2025-03-29,5.428667994920552,3.75302793225651,7.070792618996375,4636511797
2025-03-30,5.605029898772948,3.8354495253551217,7.295981061650675,4636511797
2025-03-31,5.781391802625343,4.147955439687418,7.518375685482504,4636511797
2025-03-04,3.722807768805106,2.797658484109074,4.693037771041668,46365131910
2025-03-05,3.8665997687919766,2.9330030424092746,4.790084037523078,46365131910
2025-03-06,4.010391768778851,3.068962783277952,4.948907383900581,46365131910
2025-03-07,4.154183768765723,3.181948981922483,5.031952798387295,46365131910
2025-03-08,4.297975768752595,3.349097136040056,5.206539419777333,46365131910
2025-03-09,4.441767768739467,3.57193441841209,5.36025684337071,46365131910
2025-03-10,4.585559768726341,3.6902581016947047,5.513783233655627,46365131910
2025-03-11,4.729351768713213,3.8403818873874536,5.661989283491464,46365131910
2025-03-12,4.873143768700086,3.9537275876464455,5.76760563371748,46365131910
2025-03-13,5.016935768686958,4.127222690274593,5.954091655376181,46365131910
2025-03-14,5.160727768673832,4.230868202449292,6.084570572069886,46365131910
2025-03-15,5.304519768660704,4.306707296492062,6.1752357718936,46365131910
2025-03-16,5.448311768647576,4.521273548015667,6.380906334837978,46365131910
2025-03-17,5.592103768634448,4.633014888327013,6.5627514345939275,46365131910
2025-03-18,5.735895768621319,4.809294221300477,6.63603940984388,46365131910
2025-03-19,5.8796877686081945,4.9098005871106665,6.823481416245355,46365131910
2025-03-20,6.023479768595067,5.1047939582353825,6.962972710517199,46365131910
2025-03-21,6.167271768581937,5.256820255215005,7.1287935146649115,46365131910
2025-03-22,6.311063768568809,5.348893139425571,7.239582042331295,46365131910
2025-03-23,6.454855768555685,5.540989893699415,7.294888125122421,46365131910
2025-03-24,6.5986477685425555,5.720413930643955,7.471243091109549,46365131910
2025-03-25,6.742439768529428,5.782875198198672,7.718771965803157,46365131910
2025-03-26,6.8862317685163,6.029134966631303,7.754056872255158,46365131910
2025-03-27,7.030023768503172,6.0827568752716585,7.959559934484291,46365131910
2025-03-28,7.173815768490046,6.2934753309408284,8.04460478904753,46365131910
2025-03-29,7.317607768476918,6.387068530415854,8.265297179793125,46365131910
2025-03-30,7.4613997684637905,6.577308248648855,8.345287941930325,46365131910
2025-03-31,7.6051917684506645,6.652301925839227,8.460276973761186,46365131910
2025-02-25,1.0,0.999999998837877,1.0000000014104191,46381587960
2025-02-26,1.0,0.999999998706714,1.000000001244713,46381587960
2025-02-27,1.0,0.9999999987134797,1.0000000012166739,46381587960
2025-02-28,1.0,0.9999999987386831,1.0000000013235413,46381587960
2025-03-01,1.0,0.9999999987499186,1.0000000012213417,46381587960
2025-03-02,1.0,0.9999999987688734,1.0000000013393493,46381587960
2025-03-03,1.0,0.9999999988128415,1.0000000013141055,46381587960
2025-03-04,1.0,0.9999999986374767,1.000000001245696,46381587960
2025-03-05,1.0,0.9999999985926341,1.0000000013796055,46381587960
2025-03-06,1.0,0.9999999986213938,1.0000000012610881,46381587960
2025-03-07,1.0,0.9999999986023814,1.000000001280917,46381587960
2025-03-08,1.0,0.9999999986885955,1.0000000013727466,46381587960
2025-03-09,1.0,0.9999999985650132,1.0000000013563255,46381587960
2025-03-10,1.0,0.99999999860295,1.0000000013315857,46381587960
2025-03-11,1.0,0.9999999984654199,1.0000000013180432,46381587960
2025-03-12,1.0,0.9999999986893983,1.0000000014304447,46381587960
2025-03-13,1.0,0.999999998622038,1.0000000014628059,46381587960
2025-03-14,1.0,0.9999999986076913,1.0000000014983859,46381587960
2025-03-15,1.0,0.9999999986260902,1.0000000014857902,46381587960
2025-03-16,1.0,0.9999999985120747,1.0000000015148205,46381587960
2025-03-17,1.0,0.9999999986658178,1.0000000015235,46381587960
2025-03-18,1.0,0.9999999985416795,1.0000000013807413,46381587960
2025-03-19,1.0,0.9999999983738385,1.0000000015564028,46381587960
2025-03-20,1.0,0.9999999983524733,1.0000000015358212,46381587960
2025-03-21,1.0,0.9999999984208603,1.0000000016111532,46381587960
2025-03-22,1.0,0.9999999983949083,1.00000000155807,46381587960
2025-03-23,1.0,0.9999999982654806,1.000000001641847,46381587960
2025-03-24,1.0,0.9999999984635437,1.0000000015924853,46381587960
2025-02-11,1.53075944979735,0.17433891835948812,2.8629033736177143,44400044666
2025-02-12,1.5376061232807385,0.1537891352244933,3.0050293269941766,44400044666
2025-02-13,1.5444527967641268,-0.002360808436534521,2.942849362213535,44400044666
2025-02-14,1.5512994702475154,0.22693605711367665,2.9780633924360242,44400044666
